Month,Hour,Sunlit_Count,Total_Count,Percentage
1,3,0,365133,0.00
1,4,0,365133,0.00
1,5,0,365133,0.00
1,6,0,365133,0.00
1,7,0,365133,0.00
1,8,78330,365133,21.45
1,9,108057,365133,29.59
1,10,124051,365133,33.97
1,11,136953,365133,37.51
1,12,151204,365133,41.41
1,13,170857,365133,46.79
1,14,196583,365133,53.84
1,15,107785,365133,29.52
1,16,56359,365133,15.44
1,17,0,365133,0.00
1,18,0,365133,0.00
1,19,0,365133,0.00
1,20,0,365133,0.00
1,21,0,365133,0.00
2,3,0,365133,0.00
2,4,0,365133,0.00
2,5,0,365133,0.00
2,6,0,365133,0.00
2,7,0,365133,0.00
2,8,178769,365133,48.96
2,9,139979,365133,38.34
2,10,147423,365133,40.38
2,11,156071,365133,42.74
2,12,170980,365133,46.83
2,13,193260,365133,52.93
2,14,215732,365133,59.08
2,15,140696,365133,38.53
2,16,91431,365133,25.04
2,17,0,365133,0.00
2,18,0,365133,0.00
2,19,0,365133,0.00
2,20,0,365133,0.00
2,21,0,365133,0.00
3,3,0,365133,0.00
3,4,0,365133,0.00
3,5,0,365133,0.00
3,6,0,365133,0.00
3,7,0,365133,0.00
3,8,190513,365133,52.18
3,9,221826,365133,60.75
3,10,189224,365133,51.82
3,11,187509,365133,51.35
3,12,201752,365133,55.25
3,13,227587,365133,62.33
3,14,224762,365133,61.56
3,15,160541,365133,43.97
3,16,118410,365133,32.43
3,17,75212,365133,20.60
3,18,0,365133,0.00
3,19,0,365133,0.00
3,20,0,365133,0.00
3,21,0,365133,0.00
4,3,0,365133,0.00
4,4,0,365133,0.00
4,5,0,365133,0.00
4,6,0,365133,0.00
4,7,117888,365133,32.29
4,8,187555,365133,51.37
4,9,289491,365133,79.28
4,10,255439,365133,69.96
4,11,238683,365133,65.37
4,12,247718,365133,67.84
4,13,262567,365133,71.91
4,14,228664,365133,62.62
4,15,178099,365133,48.78
4,16,144173,365133,39.49
4,17,108641,365133,29.75
4,18,0,365133,0.00
4,19,0,365133,0.00
4,20,0,365133,0.00
4,21,0,365133,0.00
5,3,0,365133,0.00
5,4,0,365133,0.00
5,5,0,365133,0.00
5,6,98078,365133,26.86
5,7,143554,365133,39.32
5,8,195944,365133,53.66
5,9,288885,365133,79.12
5,10,309436,365133,84.75
5,11,289257,365133,79.22
5,12,293135,365133,80.28
5,13,285673,365133,78.24
5,14,240289,365133,65.81
5,15,197988,365133,54.22
5,16,167366,365133,45.84
5,17,134977,365133,36.97
5,18,90009,365133,24.65
5,19,0,365133,0.00
5,20,0,365133,0.00
5,21,0,365133,0.00
6,3,0,365133,0.00
6,4,0,365133,0.00
6,5,0,365133,0.00
6,6,111215,365133,30.46
6,7,152529,365133,41.77
6,8,195976,365133,53.67
